enu,nue,nuebar,numu,numubar,nutau,nutaubar
# Energy in GeV, Fluxes in 1/GeV/cm/s/sr
3.095E+05,1.452E-24,1.452E-24,1.452E-24,1.452E-24,1.452E-24,1.452E-24
4.306E+05,1.379E-24,1.379E-24,1.379E-24,1.379E-24,1.379E-24,1.379E-24
5.777E+05,1.151E-24,1.151E-24,1.151E-24,1.151E-24,1.151E-24,1.151E-24
7.091E+05,1.131E-24,1.131E-24,1.131E-24,1.131E-24,1.131E-24,1.131E-24
8.848E+05,1.053E-24,1.053E-24,1.053E-24,1.053E-24,1.053E-24,1.053E-24
1.159E+06,8.881E-25,8.881E-25,8.881E-25,8.881E-25,8.881E-25,8.881E-25
1.517E+06,7.785E-25,7.785E-25,7.785E-25,7.785E-25,7.785E-25,7.785E-25
2.118E+06,6.015E-25,6.015E-25,6.015E-25,6.015E-25,6.015E-25,6.015E-25
2.868E+06,4.628E-25,4.628E-25,4.628E-25,4.628E-25,4.628E-25,4.628E-25
3.900E+06,3.486E-25,3.486E-25,3.486E-25,3.486E-25,3.486E-25,3.486E-25
5.660E+06,2.342E-25,2.342E-25,2.342E-25,2.342E-25,2.342E-25,2.342E-25
7.891E+06,1.607E-25,1.607E-25,1.607E-25,1.607E-25,1.607E-25,1.607E-25
1.042E+07,1.267E-25,1.267E-25,1.267E-25,1.267E-25,1.267E-25,1.267E-25
1.449E+07,9.414E-26,9.414E-26,9.414E-26,9.414E-26,9.414E-26,9.414E-26
1.918E+07,7.566E-26,7.566E-26,7.566E-26,7.566E-26,7.566E-26,7.566E-26
3.224E+07,5.612E-26,5.612E-26,5.612E-26,5.612E-26,5.612E-26,5.612E-26
7.012E+07,3.600E-26,3.600E-26,3.600E-26,3.600E-26,3.600E-26,3.600E-26
1.106E+08,2.578E-26,2.578E-26,2.578E-26,2.578E-26,2.578E-26,2.578E-26
1.610E+08,1.811E-26,1.811E-26,1.811E-26,1.811E-26,1.811E-26,1.811E-26
2.235E+08,1.300E-26,1.300E-26,1.300E-26,1.300E-26,1.300E-26,1.300E-26
3.171E+08,8.370E-27,8.370E-27,8.370E-27,8.370E-27,8.370E-27,8.370E-27
5.042E+08,4.280E-27,4.280E-27,4.280E-27,4.280E-27,4.280E-27,4.280E-27
7.787E+08,2.034E-27,2.034E-27,2.034E-27,2.034E-27,2.034E-27,2.034E-27
1.199E+09,8.805E-28,8.805E-28,8.805E-28,8.805E-28,8.805E-28,8.805E-28
1.801E+09,3.640E-28,3.640E-28,3.640E-28,3.640E-28,3.640E-28,3.640E-28
2.869E+09,1.269E-28,1.269E-28,1.269E-28,1.269E-28,1.269E-28,1.269E-28
4.548E+09,4.006E-29,4.006E-29,4.006E-29,4.006E-29,4.006E-29,4.006E-29
6.372E+09,1.625E-29,1.625E-29,1.625E-29,1.625E-29,1.625E-29,1.625E-29
8.144E+09,7.928E-30,7.928E-30,7.928E-30,7.928E-30,7.928E-30,7.928E-30
1.131E+10,3.020E-30,3.020E-30,3.020E-30,3.020E-30,3.020E-30,3.020E-30
1.366E+10,1.560E-30,1.560E-30,1.560E-30,1.560E-30,1.560E-30,1.560E-30
2.029E+10,3.999E-31,3.999E-31,3.999E-31,3.999E-31,3.999E-31,3.999E-31
2.612E+10,1.573E-31,1.573E-31,1.573E-31,1.573E-31,1.573E-31,1.573E-31
3.289E+10,6.305E-32,6.305E-32,6.305E-32,6.305E-32,6.305E-32,6.305E-32
4.885E+10,1.277E-32,1.277E-32,1.277E-32,1.277E-32,1.277E-32,1.277E-32
8.093E+10,1.448E-33,1.448E-33,1.448E-33,1.448E-33,1.448E-33,1.448E-33
1.260E+11,1.761E-34,1.761E-34,1.761E-34,1.761E-34,1.761E-34,1.761E-34
1.653E+11,4.870E-35,4.870E-35,4.870E-35,4.870E-35,4.870E-35,4.870E-35
2.167E+11,1.289E-35,1.289E-35,1.289E-35,1.289E-35,1.289E-35,1.289E-35
2.875E+11,2.732E-36,2.732E-36,2.732E-36,2.732E-36,2.732E-36,2.732E-36
