enu,nue,nuebar,numu,numubar,nutau,nutaubar
# Energy in GeV, Fluxes in 1/GeV/cm/s/sr
# From "Testing the Newborn Pulsar Origin of Ultrahigh Energy Cosmic Rays with EeV Neutrinos"
# K. Fang, et al, Phys Rev D (2010) 106-115
# https://journals.aps.org/prd/abstract/10.1103/PhysRevD.90.103005, https://arxiv.org/abs/1311.2044
# Fig 3, solid blue line (evolution based on SFR)
1.061E+04,2.756E-19,2.756E-19,2.756E-19,2.756E-19,2.756E-19,2.756E-19
1.237E+04,2.196E-19,2.196E-19,2.196E-19,2.196E-19,2.196E-19,2.196E-19
1.461E+04,1.725E-19,1.725E-19,1.725E-19,1.725E-19,1.725E-19,1.725E-19
1.717E+04,1.371E-19,1.371E-19,1.371E-19,1.371E-19,1.371E-19,1.371E-19
2.036E+04,1.077E-19,1.077E-19,1.077E-19,1.077E-19,1.077E-19,1.077E-19
2.401E+04,8.551E-20,8.551E-20,8.551E-20,8.551E-20,8.551E-20,8.551E-20
2.837E+04,6.723E-20,6.723E-20,6.723E-20,6.723E-20,6.723E-20,6.723E-20
3.358E+04,5.258E-20,5.258E-20,5.258E-20,5.258E-20,5.258E-20,5.258E-20
3.966E+04,4.120E-20,4.120E-20,4.120E-20,4.120E-20,4.120E-20,4.120E-20
4.685E+04,3.227E-20,3.227E-20,3.227E-20,3.227E-20,3.227E-20,3.227E-20
5.534E+04,2.523E-20,2.523E-20,2.523E-20,2.523E-20,2.523E-20,2.523E-20
6.536E+04,1.974E-20,1.974E-20,1.974E-20,1.974E-20,1.974E-20,1.974E-20
7.721E+04,1.543E-20,1.543E-20,1.543E-20,1.543E-20,1.543E-20,1.543E-20
9.099E+04,1.214E-20,1.214E-20,1.214E-20,1.214E-20,1.214E-20,1.214E-20
1.077E+05,9.494E-21,9.494E-21,9.494E-21,9.494E-21,9.494E-21,9.494E-21
1.272E+05,7.426E-21,7.426E-21,7.426E-21,7.426E-21,7.426E-21,7.426E-21
1.502E+05,5.806E-21,5.806E-21,5.806E-21,5.806E-21,5.806E-21,5.806E-21
1.775E+05,4.541E-21,4.541E-21,4.541E-21,4.541E-21,4.541E-21,4.541E-21
2.096E+05,3.550E-21,3.550E-21,3.550E-21,3.550E-21,3.550E-21,3.550E-21
2.475E+05,2.774E-21,2.774E-21,2.774E-21,2.774E-21,2.774E-21,2.774E-21
2.923E+05,2.165E-21,2.165E-21,2.165E-21,2.165E-21,2.165E-21,2.165E-21
3.453E+05,1.687E-21,1.687E-21,1.687E-21,1.687E-21,1.687E-21,1.687E-21
4.078E+05,1.316E-21,1.316E-21,1.316E-21,1.316E-21,1.316E-21,1.316E-21
4.817E+05,1.025E-21,1.025E-21,1.025E-21,1.025E-21,1.025E-21,1.025E-21
5.690E+05,7.978E-22,7.978E-22,7.978E-22,7.978E-22,7.978E-22,7.978E-22
6.720E+05,6.218E-22,6.218E-22,6.218E-22,6.218E-22,6.218E-22,6.218E-22
7.938E+05,4.842E-22,4.842E-22,4.842E-22,4.842E-22,4.842E-22,4.842E-22
9.376E+05,3.762E-22,3.762E-22,3.762E-22,3.762E-22,3.762E-22,3.762E-22
1.107E+06,2.925E-22,2.925E-22,2.925E-22,2.925E-22,2.925E-22,2.925E-22
1.308E+06,2.267E-22,2.267E-22,2.267E-22,2.267E-22,2.267E-22,2.267E-22
1.545E+06,1.755E-22,1.755E-22,1.755E-22,1.755E-22,1.755E-22,1.755E-22
1.825E+06,1.359E-22,1.359E-22,1.359E-22,1.359E-22,1.359E-22,1.359E-22
2.155E+06,1.054E-22,1.054E-22,1.054E-22,1.054E-22,1.054E-22,1.054E-22
2.546E+06,8.177E-23,8.177E-23,8.177E-23,8.177E-23,8.177E-23,8.177E-23
3.007E+06,6.345E-23,6.345E-23,6.345E-23,6.345E-23,6.345E-23,6.345E-23
3.551E+06,4.927E-23,4.927E-23,4.927E-23,4.927E-23,4.927E-23,4.927E-23
4.195E+06,3.827E-23,3.827E-23,3.827E-23,3.827E-23,3.827E-23,3.827E-23
4.955E+06,2.968E-23,2.968E-23,2.968E-23,2.968E-23,2.968E-23,2.968E-23
5.852E+06,2.295E-23,2.295E-23,2.295E-23,2.295E-23,2.295E-23,2.295E-23
6.912E+06,1.768E-23,1.768E-23,1.768E-23,1.768E-23,1.768E-23,1.768E-23
8.164E+06,1.357E-23,1.357E-23,1.357E-23,1.357E-23,1.357E-23,1.357E-23
9.643E+06,1.038E-23,1.038E-23,1.038E-23,1.038E-23,1.038E-23,1.038E-23
1.139E+07,7.929E-24,7.929E-24,7.929E-24,7.929E-24,7.929E-24,7.929E-24
1.345E+07,6.046E-24,6.046E-24,6.046E-24,6.046E-24,6.046E-24,6.046E-24
1.589E+07,4.597E-24,4.597E-24,4.597E-24,4.597E-24,4.597E-24,4.597E-24
1.877E+07,3.487E-24,3.487E-24,3.487E-24,3.487E-24,3.487E-24,3.487E-24
2.216E+07,2.644E-24,2.644E-24,2.644E-24,2.644E-24,2.644E-24,2.644E-24
2.618E+07,2.005E-24,2.005E-24,2.005E-24,2.005E-24,2.005E-24,2.005E-24
3.092E+07,1.523E-24,1.523E-24,1.523E-24,1.523E-24,1.523E-24,1.523E-24
3.652E+07,1.156E-24,1.156E-24,1.156E-24,1.156E-24,1.156E-24,1.156E-24
4.313E+07,8.567E-25,8.567E-25,8.567E-25,8.567E-25,8.567E-25,8.567E-25
5.094E+07,6.396E-25,6.396E-25,6.396E-25,6.396E-25,6.396E-25,6.396E-25
