enu,nue,nuebar,numu,numubar,nutau,nutaubar
# Energy in GeV, Fluxes in 1/GeV/cm/s/sr
# From "GZK Neutrinos after the Fermi-LAT Diffuse Photon Flux Measurement"
# M. Ahlers, et al, Astropart. Phys. 34 (2010) 106-115
# https://doi.org/10.1016/j.astropartphys.2010.06.003, https://arxiv.org/abs/1005.2620
# Fig 4, Emin = 1E19 (lower right panel)
8.119E+05,2.656E-24,2.656E-24,2.656E-24,2.656E-24,2.656E-24,2.656E-24
8.940E+05,2.445E-24,2.445E-24,2.445E-24,2.445E-24,2.445E-24,2.445E-24
9.644E+05,2.399E-24,2.399E-24,2.399E-24,2.399E-24,2.399E-24,2.399E-24
1.022E+06,2.428E-24,2.428E-24,2.428E-24,2.428E-24,2.428E-24,2.428E-24
1.134E+06,2.302E-24,2.302E-24,2.302E-24,2.302E-24,2.302E-24,2.302E-24
1.267E+06,2.094E-24,2.094E-24,2.094E-24,2.094E-24,2.094E-24,2.094E-24
1.345E+06,2.134E-24,2.134E-24,2.134E-24,2.134E-24,2.134E-24,2.134E-24
1.502E+06,1.995E-24,1.995E-24,1.995E-24,1.995E-24,1.995E-24,1.995E-24
1.672E+06,1.903E-24,1.903E-24,1.903E-24,1.903E-24,1.903E-24,1.903E-24
1.788E+06,1.928E-24,1.928E-24,1.928E-24,1.928E-24,1.928E-24,1.928E-24
2.019E+06,1.666E-24,1.666E-24,1.666E-24,1.666E-24,1.666E-24,1.666E-24
2.220E+06,1.601E-24,1.601E-24,1.601E-24,1.601E-24,1.601E-24,1.601E-24
2.463E+06,1.522E-24,1.522E-24,1.522E-24,1.522E-24,1.522E-24,1.522E-24
2.687E+06,1.476E-24,1.476E-24,1.476E-24,1.476E-24,1.476E-24,1.476E-24
3.068E+06,1.324E-24,1.324E-24,1.324E-24,1.324E-24,1.324E-24,1.324E-24
3.500E+06,1.181E-24,1.181E-24,1.181E-24,1.181E-24,1.181E-24,1.181E-24
3.689E+06,1.199E-24,1.199E-24,1.199E-24,1.199E-24,1.199E-24,1.199E-24
4.147E+06,1.047E-24,1.047E-24,1.047E-24,1.047E-24,1.047E-24,1.047E-24
4.637E+06,9.694E-25,9.694E-25,9.694E-25,9.694E-25,9.694E-25,9.694E-25
5.122E+06,8.956E-25,8.956E-25,8.956E-25,8.956E-25,8.956E-25,8.956E-25
5.656E+06,8.271E-25,8.271E-25,8.271E-25,8.271E-25,8.271E-25,8.271E-25
6.299E+06,7.527E-25,7.527E-25,7.527E-25,7.527E-25,7.527E-25,7.527E-25
7.073E+06,6.711E-25,6.711E-25,6.711E-25,6.711E-25,6.711E-25,6.711E-25
7.942E+06,5.947E-25,5.947E-25,5.947E-25,5.947E-25,5.947E-25,5.947E-25
8.918E+06,5.240E-25,5.240E-25,5.240E-25,5.240E-25,5.240E-25,5.240E-25
1.004E+07,4.594E-25,4.594E-25,4.594E-25,4.594E-25,4.594E-25,4.594E-25
1.143E+07,3.942E-25,3.942E-25,3.942E-25,3.942E-25,3.942E-25,3.942E-25
1.305E+07,3.386E-25,3.386E-25,3.386E-25,3.386E-25,3.386E-25,3.386E-25
1.490E+07,2.926E-25,2.926E-25,2.926E-25,2.926E-25,2.926E-25,2.926E-25
1.697E+07,2.544E-25,2.544E-25,2.544E-25,2.544E-25,2.544E-25,2.544E-25
1.910E+07,2.265E-25,2.265E-25,2.265E-25,2.265E-25,2.265E-25,2.265E-25
2.173E+07,1.998E-25,1.998E-25,1.998E-25,1.998E-25,1.998E-25,1.998E-25
2.390E+07,1.855E-25,1.855E-25,1.855E-25,1.855E-25,1.855E-25,1.855E-25
2.638E+07,1.710E-25,1.710E-25,1.710E-25,1.710E-25,1.710E-25,1.710E-25
2.937E+07,1.578E-25,1.578E-25,1.578E-25,1.578E-25,1.578E-25,1.578E-25
3.349E+07,1.412E-25,1.412E-25,1.412E-25,1.412E-25,1.412E-25,1.412E-25
3.676E+07,1.347E-25,1.347E-25,1.347E-25,1.347E-25,1.347E-25,1.347E-25
4.054E+07,1.252E-25,1.252E-25,1.252E-25,1.252E-25,1.252E-25,1.252E-25
4.419E+07,1.184E-25,1.184E-25,1.184E-25,1.184E-25,1.184E-25,1.184E-25
4.827E+07,1.107E-25,1.107E-25,1.107E-25,1.107E-25,1.107E-25,1.107E-25
5.132E+07,1.127E-25,1.127E-25,1.127E-25,1.127E-25,1.127E-25,1.127E-25
5.963E+07,9.819E-26,9.819E-26,9.819E-26,9.819E-26,9.819E-26,9.819E-26
6.725E+07,9.223E-26,9.223E-26,9.223E-26,9.223E-26,9.223E-26,9.223E-26
7.280E+07,9.080E-26,9.080E-26,9.080E-26,9.080E-26,9.080E-26,9.080E-26
8.271E+07,8.270E-26,8.270E-26,8.270E-26,8.270E-26,8.270E-26,8.270E-26
9.369E+07,7.728E-26,7.728E-26,7.728E-26,7.728E-26,7.728E-26,7.728E-26
1.042E+08,7.354E-26,7.354E-26,7.354E-26,7.354E-26,7.354E-26,7.354E-26
1.200E+08,6.362E-26,6.362E-26,6.362E-26,6.362E-26,6.362E-26,6.362E-26
1.342E+08,6.056E-26,6.056E-26,6.056E-26,6.056E-26,6.056E-26,6.056E-26
1.490E+08,5.595E-26,5.595E-26,5.595E-26,5.595E-26,5.595E-26,5.595E-26
1.637E+08,5.328E-26,5.328E-26,5.328E-26,5.328E-26,5.328E-26,5.328E-26
1.799E+08,5.011E-26,5.011E-26,5.011E-26,5.011E-26,5.011E-26,5.011E-26
1.957E+08,4.748E-26,4.748E-26,4.748E-26,4.748E-26,4.748E-26,4.748E-26
2.160E+08,4.363E-26,4.363E-26,4.363E-26,4.363E-26,4.363E-26,4.363E-26
2.385E+08,4.030E-26,4.030E-26,4.030E-26,4.030E-26,4.030E-26,4.030E-26
2.653E+08,3.668E-26,3.668E-26,3.668E-26,3.668E-26,3.668E-26,3.668E-26
2.933E+08,3.356E-26,3.356E-26,3.356E-26,3.356E-26,3.356E-26,3.356E-26
3.244E+08,3.048E-26,3.048E-26,3.048E-26,3.048E-26,3.048E-26,3.048E-26
3.638E+08,2.690E-26,2.690E-26,2.690E-26,2.690E-26,2.690E-26,2.690E-26
4.106E+08,2.358E-26,2.358E-26,2.358E-26,2.358E-26,2.358E-26,2.358E-26
4.741E+08,1.967E-26,1.967E-26,1.967E-26,1.967E-26,1.967E-26,1.967E-26
5.480E+08,1.656E-26,1.656E-26,1.656E-26,1.656E-26,1.656E-26,1.656E-26
6.602E+08,1.270E-26,1.270E-26,1.270E-26,1.270E-26,1.270E-26,1.270E-26
7.921E+08,9.518E-27,9.518E-27,9.518E-27,9.518E-27,9.518E-27,9.518E-27
9.503E+08,6.953E-27,6.953E-27,6.953E-27,6.953E-27,6.953E-27,6.953E-27
1.140E+09,4.958E-27,4.958E-27,4.958E-27,4.958E-27,4.958E-27,4.958E-27
1.368E+09,3.477E-27,3.477E-27,3.477E-27,3.477E-27,3.477E-27,3.477E-27
1.641E+09,2.388E-27,2.388E-27,2.388E-27,2.388E-27,2.388E-27,2.388E-27
1.969E+09,1.626E-27,1.626E-27,1.626E-27,1.626E-27,1.626E-27,1.626E-27
2.362E+09,1.090E-27,1.090E-27,1.090E-27,1.090E-27,1.090E-27,1.090E-27
2.834E+09,7.230E-28,7.230E-28,7.230E-28,7.230E-28,7.230E-28,7.230E-28
3.400E+09,4.767E-28,4.767E-28,4.767E-28,4.767E-28,4.767E-28,4.767E-28
4.079E+09,3.117E-28,3.117E-28,3.117E-28,3.117E-28,3.117E-28,3.117E-28
4.894E+09,2.034E-28,2.034E-28,2.034E-28,2.034E-28,2.034E-28,2.034E-28
5.872E+09,1.321E-28,1.321E-28,1.321E-28,1.321E-28,1.321E-28,1.321E-28
7.045E+09,8.555E-29,8.555E-29,8.555E-29,8.555E-29,8.555E-29,8.555E-29
8.452E+09,5.520E-29,5.520E-29,5.520E-29,5.520E-29,5.520E-29,5.520E-29
1.014E+10,3.547E-29,3.547E-29,3.547E-29,3.547E-29,3.547E-29,3.547E-29
1.217E+10,2.267E-29,2.267E-29,2.267E-29,2.267E-29,2.267E-29,2.267E-29
1.460E+10,1.434E-29,1.434E-29,1.434E-29,1.434E-29,1.434E-29,1.434E-29
1.733E+10,9.125E-30,9.125E-30,9.125E-30,9.125E-30,9.125E-30,9.125E-30
1.954E+10,6.555E-30,6.555E-30,6.555E-30,6.555E-30,6.555E-30,6.555E-30
2.282E+10,4.368E-30,4.368E-30,4.368E-30,4.368E-30,4.368E-30,4.368E-30
2.684E+10,2.820E-30,2.820E-30,2.820E-30,2.820E-30,2.820E-30,2.820E-30
3.117E+10,1.862E-30,1.862E-30,1.862E-30,1.862E-30,1.862E-30,1.862E-30
3.561E+10,1.271E-30,1.271E-30,1.271E-30,1.271E-30,1.271E-30,1.271E-30
4.002E+10,9.019E-31,9.019E-31,9.019E-31,9.019E-31,9.019E-31,9.019E-31
4.431E+10,6.588E-31,6.588E-31,6.588E-31,6.588E-31,6.588E-31,6.588E-31
4.963E+10,4.668E-31,4.668E-31,4.668E-31,4.668E-31,4.668E-31,4.668E-31
5.447E+10,3.457E-31,3.457E-31,3.457E-31,3.457E-31,3.457E-31,3.457E-31
6.011E+10,2.524E-31,2.524E-31,2.524E-31,2.524E-31,2.524E-31,2.524E-31
6.634E+10,1.827E-31,1.827E-31,1.827E-31,1.827E-31,1.827E-31,1.827E-31
7.153E+10,1.395E-31,1.395E-31,1.395E-31,1.395E-31,1.395E-31,1.395E-31
7.770E+10,1.056E-31,1.056E-31,1.056E-31,1.056E-31,1.056E-31,1.056E-31
8.261E+10,8.304E-32,8.304E-32,8.304E-32,8.304E-32,8.304E-32,8.304E-32
8.701E+10,6.729E-32,6.729E-32,6.729E-32,6.729E-32,6.729E-32,6.729E-32
9.224E+10,5.372E-32,5.372E-32,5.372E-32,5.372E-32,5.372E-32,5.372E-32
9.856E+10,4.228E-32,4.228E-32,4.228E-32,4.228E-32,4.228E-32,4.228E-32
1.050E+11,3.314E-32,3.314E-32,3.314E-32,3.314E-32,3.314E-32,3.314E-32
1.113E+11,2.601E-32,2.601E-32,2.601E-32,2.601E-32,2.601E-32,2.601E-32
1.193E+11,2.001E-32,2.001E-32,2.001E-32,2.001E-32,2.001E-32,2.001E-32
1.256E+11,1.613E-32,1.613E-32,1.613E-32,1.613E-32,1.613E-32,1.613E-32
1.320E+11,1.315E-32,1.315E-32,1.315E-32,1.315E-32,1.315E-32,1.315E-32
1.387E+11,1.066E-32,1.066E-32,1.066E-32,1.066E-32,1.066E-32,1.066E-32
1.458E+11,8.591E-33,8.591E-33,8.591E-33,8.591E-33,8.591E-33,8.591E-33
1.532E+11,6.921E-33,6.921E-33,6.921E-33,6.921E-33,6.921E-33,6.921E-33
1.610E+11,5.566E-33,5.566E-33,5.566E-33,5.566E-33,5.566E-33,5.566E-33
1.664E+11,4.577E-33,4.577E-33,4.577E-33,4.577E-33,4.577E-33,4.577E-33
1.744E+11,3.670E-33,3.670E-33,3.670E-33,3.670E-33,3.670E-33,3.670E-33
1.838E+11,2.921E-33,2.921E-33,2.921E-33,2.921E-33,2.921E-33,2.921E-33
1.923E+11,2.348E-33,2.348E-33,2.348E-33,2.348E-33,2.348E-33,2.348E-33
2.022E+11,1.843E-33,1.843E-33,1.843E-33,1.843E-33,1.843E-33,1.843E-33
2.133E+11,1.422E-33,1.422E-33,1.422E-33,1.422E-33,1.422E-33,1.422E-33
2.249E+11,1.113E-33,1.113E-33,1.113E-33,1.113E-33,1.113E-33,1.113E-33
2.310E+11,9.306E-34,9.306E-34,9.306E-34,9.306E-34,9.306E-34,9.306E-34
2.443E+11,7.297E-34,7.297E-34,7.297E-34,7.297E-34,7.297E-34,7.297E-34
2.517E+11,6.122E-34,6.122E-34,6.122E-34,6.122E-34,6.122E-34,6.122E-34
2.581E+11,5.234E-34,5.234E-34,5.234E-34,5.234E-34,5.234E-34,5.234E-34
2.650E+11,4.450E-34,4.450E-34,4.450E-34,4.450E-34,4.450E-34,4.450E-34
2.734E+11,3.773E-34,3.773E-34,3.773E-34,3.773E-34,3.773E-34,3.773E-34
2.822E+11,3.167E-34,3.167E-34,3.167E-34,3.167E-34,3.167E-34,3.167E-34
2.922E+11,2.644E-34,2.644E-34,2.644E-34,2.644E-34,2.644E-34,2.644E-34
3.005E+11,2.232E-34,2.232E-34,2.232E-34,2.232E-34,2.232E-34,2.232E-34
3.106E+11,1.852E-34,1.852E-34,1.852E-34,1.852E-34,1.852E-34,1.852E-34
3.207E+11,1.530E-34,1.530E-34,1.530E-34,1.530E-34,1.530E-34,1.530E-34
3.330E+11,1.245E-34,1.245E-34,1.245E-34,1.245E-34,1.245E-34,1.245E-34
3.442E+11,1.023E-34,1.023E-34,1.023E-34,1.023E-34,1.023E-34,1.023E-34
3.558E+11,8.388E-35,8.388E-35,8.388E-35,8.388E-35,8.388E-35,8.388E-35
