enu,nue,nuebar,numu,numubar,nutau,nutaubar
# Energy in GeV, Fluxes in 1/GeV/cm/s/sr
# From "Minimal Cosmogenic Neutrinos"
# M. Ahlers, et al, Phys Rev D (2012) 86 083010
# https://journals.aps.org/prd/abstract/10.1103/PhysRevD.86.083010, https://arxiv.org/abs/1208.4181
# Fig 1, solid red line
3.233E+05,1.408E-24,1.408E-24,1.408E-24,1.408E-24,1.408E-24,1.408E-24
3.465E+05,1.356E-24,1.356E-24,1.356E-24,1.356E-24,1.356E-24,1.356E-24
3.676E+05,1.340E-24,1.340E-24,1.340E-24,1.340E-24,1.340E-24,1.340E-24
3.900E+05,1.324E-24,1.324E-24,1.324E-24,1.324E-24,1.324E-24,1.324E-24
4.164E+05,1.292E-24,1.292E-24,1.292E-24,1.292E-24,1.292E-24,1.292E-24
4.422E+05,1.276E-24,1.276E-24,1.276E-24,1.276E-24,1.276E-24,1.276E-24
4.721E+05,1.245E-24,1.245E-24,1.245E-24,1.245E-24,1.245E-24,1.245E-24
5.015E+05,1.227E-24,1.227E-24,1.227E-24,1.227E-24,1.227E-24,1.227E-24
5.360E+05,1.200E-24,1.200E-24,1.200E-24,1.200E-24,1.200E-24,1.200E-24
5.729E+05,1.172E-24,1.172E-24,1.172E-24,1.172E-24,1.172E-24,1.172E-24
6.084E+05,1.155E-24,1.155E-24,1.155E-24,1.155E-24,1.155E-24,1.155E-24
6.503E+05,1.127E-24,1.127E-24,1.127E-24,1.127E-24,1.127E-24,1.127E-24
6.983E+05,1.093E-24,1.093E-24,1.093E-24,1.093E-24,1.093E-24,1.093E-24
7.454E+05,1.070E-24,1.070E-24,1.070E-24,1.070E-24,1.070E-24,1.070E-24
7.995E+05,1.037E-24,1.037E-24,1.037E-24,1.037E-24,1.037E-24,1.037E-24
8.566E+05,1.008E-24,1.008E-24,1.008E-24,1.008E-24,1.008E-24,1.008E-24
9.166E+05,9.767E-25,9.767E-25,9.767E-25,9.767E-25,9.767E-25,9.767E-25
9.808E+05,9.476E-25,9.476E-25,9.476E-25,9.476E-25,9.476E-25,9.476E-25
1.049E+06,9.150E-25,9.150E-25,9.150E-25,9.150E-25,9.150E-25,9.150E-25
1.123E+06,8.824E-25,8.824E-25,8.824E-25,8.824E-25,8.824E-25,8.824E-25
1.203E+06,8.539E-25,8.539E-25,8.539E-25,8.539E-25,8.539E-25,8.539E-25
1.294E+06,8.213E-25,8.213E-25,8.213E-25,8.213E-25,8.213E-25,8.213E-25
1.396E+06,7.849E-25,7.849E-25,7.849E-25,7.849E-25,7.849E-25,7.849E-25
1.502E+06,7.511E-25,7.511E-25,7.511E-25,7.511E-25,7.511E-25,7.511E-25
1.620E+06,7.206E-25,7.206E-25,7.206E-25,7.206E-25,7.206E-25,7.206E-25
1.769E+06,6.801E-25,6.801E-25,6.801E-25,6.801E-25,6.801E-25,6.801E-25
1.930E+06,6.391E-25,6.391E-25,6.391E-25,6.391E-25,6.391E-25,6.391E-25
2.105E+06,5.974E-25,5.974E-25,5.974E-25,5.974E-25,5.974E-25,5.974E-25
2.297E+06,5.558E-25,5.558E-25,5.558E-25,5.558E-25,5.558E-25,5.558E-25
2.505E+06,5.163E-25,5.163E-25,5.163E-25,5.163E-25,5.163E-25,5.163E-25
2.747E+06,4.762E-25,4.762E-25,4.762E-25,4.762E-25,4.762E-25,4.762E-25
3.025E+06,4.358E-25,4.358E-25,4.358E-25,4.358E-25,4.358E-25,4.358E-25
3.332E+06,3.972E-25,3.972E-25,3.972E-25,3.972E-25,3.972E-25,3.972E-25
3.689E+06,3.600E-25,3.600E-25,3.600E-25,3.600E-25,3.600E-25,3.600E-25
4.083E+06,3.254E-25,3.254E-25,3.254E-25,3.254E-25,3.254E-25,3.254E-25
4.519E+06,2.930E-25,2.930E-25,2.930E-25,2.930E-25,2.930E-25,2.930E-25
5.026E+06,2.624E-25,2.624E-25,2.624E-25,2.624E-25,2.624E-25,2.624E-25
5.590E+06,2.350E-25,2.350E-25,2.350E-25,2.350E-25,2.350E-25,2.350E-25
6.217E+06,2.105E-25,2.105E-25,2.105E-25,2.105E-25,2.105E-25,2.105E-25
6.915E+06,1.885E-25,1.885E-25,1.885E-25,1.885E-25,1.885E-25,1.885E-25
7.691E+06,1.682E-25,1.682E-25,1.682E-25,1.682E-25,1.682E-25,1.682E-25
8.513E+06,1.520E-25,1.520E-25,1.520E-25,1.520E-25,1.520E-25,1.520E-25
9.377E+06,1.381E-25,1.381E-25,1.381E-25,1.381E-25,1.381E-25,1.381E-25
1.033E+07,1.260E-25,1.260E-25,1.260E-25,1.260E-25,1.260E-25,1.260E-25
1.138E+07,1.150E-25,1.150E-25,1.150E-25,1.150E-25,1.150E-25,1.150E-25
1.247E+07,1.056E-25,1.056E-25,1.056E-25,1.056E-25,1.056E-25,1.056E-25
1.361E+07,9.798E-26,9.798E-26,9.798E-26,9.798E-26,9.798E-26,9.798E-26
1.484E+07,9.102E-26,9.102E-26,9.102E-26,9.102E-26,9.102E-26,9.102E-26
1.619E+07,8.486E-26,8.486E-26,8.486E-26,8.486E-26,8.486E-26,8.486E-26
1.766E+07,7.970E-26,7.970E-26,7.970E-26,7.970E-26,7.970E-26,7.970E-26
1.927E+07,7.450E-26,7.450E-26,7.450E-26,7.450E-26,7.450E-26,7.450E-26
2.092E+07,6.973E-26,6.973E-26,6.973E-26,6.973E-26,6.973E-26,6.973E-26
2.268E+07,6.607E-26,6.607E-26,6.607E-26,6.607E-26,6.607E-26,6.607E-26
2.454E+07,6.283E-26,6.283E-26,6.283E-26,6.283E-26,6.283E-26,6.283E-26
2.643E+07,5.994E-26,5.994E-26,5.994E-26,5.994E-26,5.994E-26,5.994E-26
2.858E+07,5.746E-26,5.746E-26,5.746E-26,5.746E-26,5.746E-26,5.746E-26
3.091E+07,5.449E-26,5.449E-26,5.449E-26,5.449E-26,5.449E-26,5.449E-26
3.316E+07,5.261E-26,5.261E-26,5.261E-26,5.261E-26,5.261E-26,5.261E-26
3.578E+07,5.033E-26,5.033E-26,5.033E-26,5.033E-26,5.033E-26,5.033E-26
3.850E+07,4.859E-26,4.859E-26,4.859E-26,4.859E-26,4.859E-26,4.859E-26
4.177E+07,4.651E-26,4.651E-26,4.651E-26,4.651E-26,4.651E-26,4.651E-26
4.512E+07,4.425E-26,4.425E-26,4.425E-26,4.425E-26,4.425E-26,4.425E-26
4.875E+07,4.239E-26,4.239E-26,4.239E-26,4.239E-26,4.239E-26,4.239E-26
5.250E+07,4.075E-26,4.075E-26,4.075E-26,4.075E-26,4.075E-26,4.075E-26
5.691E+07,3.891E-26,3.891E-26,3.891E-26,3.891E-26,3.891E-26,3.891E-26
6.123E+07,3.728E-26,3.728E-26,3.728E-26,3.728E-26,3.728E-26,3.728E-26
6.638E+07,3.561E-26,3.561E-26,3.561E-26,3.561E-26,3.561E-26,3.561E-26
7.143E+07,3.399E-26,3.399E-26,3.399E-26,3.399E-26,3.399E-26,3.399E-26
7.658E+07,3.271E-26,3.271E-26,3.271E-26,3.271E-26,3.271E-26,3.271E-26
8.312E+07,3.082E-26,3.082E-26,3.082E-26,3.082E-26,3.082E-26,3.082E-26
8.926E+07,2.956E-26,2.956E-26,2.956E-26,2.956E-26,2.956E-26,2.956E-26
9.644E+07,2.799E-26,2.799E-26,2.799E-26,2.799E-26,2.799E-26,2.799E-26
1.046E+08,2.645E-26,2.645E-26,2.645E-26,2.645E-26,2.645E-26,2.645E-26
1.142E+08,2.465E-26,2.465E-26,2.465E-26,2.465E-26,2.465E-26,2.465E-26
1.245E+08,2.294E-26,2.294E-26,2.294E-26,2.294E-26,2.294E-26,2.294E-26
1.365E+08,2.113E-26,2.113E-26,2.113E-26,2.113E-26,2.113E-26,2.113E-26
1.497E+08,1.943E-26,1.943E-26,1.943E-26,1.943E-26,1.943E-26,1.943E-26
1.641E+08,1.783E-26,1.783E-26,1.783E-26,1.783E-26,1.783E-26,1.783E-26
1.816E+08,1.607E-26,1.607E-26,1.607E-26,1.607E-26,1.607E-26,1.607E-26
2.020E+08,1.435E-26,1.435E-26,1.435E-26,1.435E-26,1.435E-26,1.435E-26
2.246E+08,1.275E-26,1.275E-26,1.275E-26,1.275E-26,1.275E-26,1.275E-26
2.498E+08,1.129E-26,1.129E-26,1.129E-26,1.129E-26,1.129E-26,1.129E-26
2.779E+08,9.907E-27,9.907E-27,9.907E-27,9.907E-27,9.907E-27,9.907E-27
3.090E+08,8.668E-27,8.668E-27,8.668E-27,8.668E-27,8.668E-27,8.668E-27
3.437E+08,7.511E-27,7.511E-27,7.511E-27,7.511E-27,7.511E-27,7.511E-27
3.823E+08,6.494E-27,6.494E-27,6.494E-27,6.494E-27,6.494E-27,6.494E-27
4.252E+08,5.571E-27,5.571E-27,5.571E-27,5.571E-27,5.571E-27,5.571E-27
4.729E+08,4.740E-27,4.740E-27,4.740E-27,4.740E-27,4.740E-27,4.740E-27
5.260E+08,4.018E-27,4.018E-27,4.018E-27,4.018E-27,4.018E-27,4.018E-27
5.850E+08,3.380E-27,3.380E-27,3.380E-27,3.380E-27,3.380E-27,3.380E-27
6.507E+08,2.831E-27,2.831E-27,2.831E-27,2.831E-27,2.831E-27,2.831E-27
7.237E+08,2.349E-27,2.349E-27,2.349E-27,2.349E-27,2.349E-27,2.349E-27
8.049E+08,1.943E-27,1.943E-27,1.943E-27,1.943E-27,1.943E-27,1.943E-27
8.952E+08,1.588E-27,1.588E-27,1.588E-27,1.588E-27,1.588E-27,1.588E-27
9.956E+08,1.297E-27,1.297E-27,1.297E-27,1.297E-27,1.297E-27,1.297E-27
1.107E+09,1.048E-27,1.048E-27,1.048E-27,1.048E-27,1.048E-27,1.048E-27
1.232E+09,8.450E-28,8.450E-28,8.450E-28,8.450E-28,8.450E-28,8.450E-28
1.370E+09,6.768E-28,6.768E-28,6.768E-28,6.768E-28,6.768E-28,6.768E-28
1.524E+09,5.391E-28,5.391E-28,5.391E-28,5.391E-28,5.391E-28,5.391E-28
1.695E+09,4.276E-28,4.276E-28,4.276E-28,4.276E-28,4.276E-28,4.276E-28
1.885E+09,3.374E-28,3.374E-28,3.374E-28,3.374E-28,3.374E-28,3.374E-28
2.096E+09,2.655E-28,2.655E-28,2.655E-28,2.655E-28,2.655E-28,2.655E-28
2.331E+09,2.074E-28,2.074E-28,2.074E-28,2.074E-28,2.074E-28,2.074E-28
2.593E+09,1.618E-28,1.618E-28,1.618E-28,1.618E-28,1.618E-28,1.618E-28
2.884E+09,1.252E-28,1.252E-28,1.252E-28,1.252E-28,1.252E-28,1.252E-28
3.208E+09,9.689E-29,9.689E-29,9.689E-29,9.689E-29,9.689E-29,9.689E-29
3.568E+09,7.448E-29,7.448E-29,7.448E-29,7.448E-29,7.448E-29,7.448E-29
3.968E+09,5.715E-29,5.715E-29,5.715E-29,5.715E-29,5.715E-29,5.715E-29
4.413E+09,4.347E-29,4.347E-29,4.347E-29,4.347E-29,4.347E-29,4.347E-29
4.909E+09,3.308E-29,3.308E-29,3.308E-29,3.308E-29,3.308E-29,3.308E-29
5.459E+09,2.488E-29,2.488E-29,2.488E-29,2.488E-29,2.488E-29,2.488E-29
6.072E+09,1.868E-29,1.868E-29,1.868E-29,1.868E-29,1.868E-29,1.868E-29
6.753E+09,1.387E-29,1.387E-29,1.387E-29,1.387E-29,1.387E-29,1.387E-29
7.511E+09,1.024E-29,1.024E-29,1.024E-29,1.024E-29,1.024E-29,1.024E-29
8.314E+09,7.625E-30,7.625E-30,7.625E-30,7.625E-30,7.625E-30,7.625E-30
9.158E+09,5.696E-30,5.696E-30,5.696E-30,5.696E-30,5.696E-30,5.696E-30
1.009E+10,4.249E-30,4.249E-30,4.249E-30,4.249E-30,4.249E-30,4.249E-30
1.106E+10,3.186E-30,3.186E-30,3.186E-30,3.186E-30,3.186E-30,3.186E-30
1.206E+10,2.420E-30,2.420E-30,2.420E-30,2.420E-30,2.420E-30,2.420E-30
1.307E+10,1.847E-30,1.847E-30,1.847E-30,1.847E-30,1.847E-30,1.847E-30
1.400E+10,1.452E-30,1.452E-30,1.452E-30,1.452E-30,1.452E-30,1.452E-30
1.522E+10,1.096E-30,1.096E-30,1.096E-30,1.096E-30,1.096E-30,1.096E-30
1.655E+10,8.202E-31,8.202E-31,8.202E-31,8.202E-31,8.202E-31,8.202E-31
1.776E+10,6.375E-31,6.375E-31,6.375E-31,6.375E-31,6.375E-31,6.375E-31
1.900E+10,5.019E-31,5.019E-31,5.019E-31,5.019E-31,5.019E-31,5.019E-31
2.033E+10,3.944E-31,3.944E-31,3.944E-31,3.944E-31,3.944E-31,3.944E-31
2.165E+10,3.131E-31,3.131E-31,3.131E-31,3.131E-31,3.131E-31,3.131E-31
2.295E+10,2.521E-31,2.521E-31,2.521E-31,2.521E-31,2.521E-31,2.521E-31
2.432E+10,2.035E-31,2.035E-31,2.035E-31,2.035E-31,2.035E-31,2.035E-31
2.577E+10,1.635E-31,1.635E-31,1.635E-31,1.635E-31,1.635E-31,1.635E-31
2.710E+10,1.339E-31,1.339E-31,1.339E-31,1.339E-31,1.339E-31,1.339E-31
