enu,nue,nuebar,numu,numubar,nutau,nutaubar
# Energy in GeV, Fluxes in 1/GeV/cm/s/sr
5.170E+05,6.725E-24,6.725E-24,6.725E-24,6.725E-24,6.725E-24,6.725E-24
5.713E+05,6.279E-24,6.279E-24,6.279E-24,6.279E-24,6.279E-24,6.279E-24
6.245E+05,5.917E-24,5.917E-24,5.917E-24,5.917E-24,5.917E-24,5.917E-24
6.786E+05,5.723E-24,5.723E-24,5.723E-24,5.723E-24,5.723E-24,5.723E-24
7.373E+05,5.550E-24,5.550E-24,5.550E-24,5.550E-24,5.550E-24,5.550E-24
8.061E+05,5.291E-24,5.291E-24,5.291E-24,5.291E-24,5.291E-24,5.291E-24
8.758E+05,5.158E-24,5.158E-24,5.158E-24,5.158E-24,5.158E-24,5.158E-24
9.610E+05,4.916E-24,4.916E-24,4.916E-24,4.916E-24,4.916E-24,4.916E-24
1.058E+06,4.712E-24,4.712E-24,4.712E-24,4.712E-24,4.712E-24,4.712E-24
1.151E+06,4.620E-24,4.620E-24,4.620E-24,4.620E-24,4.620E-24,4.620E-24
1.233E+06,4.534E-24,4.534E-24,4.534E-24,4.534E-24,4.534E-24,4.534E-24
1.339E+06,4.405E-24,4.405E-24,4.405E-24,4.405E-24,4.405E-24,4.405E-24
1.456E+06,4.266E-24,4.266E-24,4.266E-24,4.266E-24,4.266E-24,4.266E-24
1.569E+06,4.191E-24,4.191E-24,4.191E-24,4.191E-24,4.191E-24,4.191E-24
1.697E+06,4.078E-24,4.078E-24,4.078E-24,4.078E-24,4.078E-24,4.078E-24
1.832E+06,3.979E-24,3.979E-24,3.979E-24,3.979E-24,3.979E-24,3.979E-24
1.971E+06,3.865E-24,3.865E-24,3.865E-24,3.865E-24,3.865E-24,3.865E-24
2.122E+06,3.778E-24,3.778E-24,3.778E-24,3.778E-24,3.778E-24,3.778E-24
2.320E+06,3.591E-24,3.591E-24,3.591E-24,3.591E-24,3.591E-24,3.591E-24
2.521E+06,3.486E-24,3.486E-24,3.486E-24,3.486E-24,3.486E-24,3.486E-24
2.762E+06,3.345E-24,3.345E-24,3.345E-24,3.345E-24,3.345E-24,3.345E-24
3.025E+06,3.188E-24,3.188E-24,3.188E-24,3.188E-24,3.188E-24,3.188E-24
3.254E+06,3.105E-24,3.105E-24,3.105E-24,3.105E-24,3.105E-24,3.105E-24
3.564E+06,2.930E-24,2.930E-24,2.930E-24,2.930E-24,2.930E-24,2.930E-24
3.905E+06,2.785E-24,2.785E-24,2.785E-24,2.785E-24,2.785E-24,2.785E-24
4.277E+06,2.633E-24,2.633E-24,2.633E-24,2.633E-24,2.633E-24,2.633E-24
4.685E+06,2.494E-24,2.494E-24,2.494E-24,2.494E-24,2.494E-24,2.494E-24
5.132E+06,2.349E-24,2.349E-24,2.349E-24,2.349E-24,2.349E-24,2.349E-24
5.622E+06,2.202E-24,2.202E-24,2.202E-24,2.202E-24,2.202E-24,2.202E-24
6.215E+06,2.049E-24,2.049E-24,2.049E-24,2.049E-24,2.049E-24,2.049E-24
6.933E+06,1.866E-24,1.866E-24,1.866E-24,1.866E-24,1.866E-24,1.866E-24
7.735E+06,1.698E-24,1.698E-24,1.698E-24,1.698E-24,1.698E-24,1.698E-24
8.707E+06,1.517E-24,1.517E-24,1.517E-24,1.517E-24,1.517E-24,1.517E-24
9.892E+06,1.334E-24,1.334E-24,1.334E-24,1.334E-24,1.334E-24,1.334E-24
1.127E+07,1.161E-24,1.161E-24,1.161E-24,1.161E-24,1.161E-24,1.161E-24
1.305E+07,9.812E-25,9.812E-25,9.812E-25,9.812E-25,9.812E-25,9.812E-25
1.514E+07,8.248E-25,8.248E-25,8.248E-25,8.248E-25,8.248E-25,8.248E-25
1.838E+07,6.452E-25,6.452E-25,6.452E-25,6.452E-25,6.452E-25,6.452E-25
2.247E+07,4.846E-25,4.846E-25,4.846E-25,4.846E-25,4.846E-25,4.846E-25
2.746E+07,3.564E-25,3.564E-25,3.564E-25,3.564E-25,3.564E-25,3.564E-25
3.355E+07,2.584E-25,2.584E-25,2.584E-25,2.584E-25,2.584E-25,2.584E-25
4.100E+07,1.872E-25,1.872E-25,1.872E-25,1.872E-25,1.872E-25,1.872E-25
4.952E+07,1.353E-25,1.353E-25,1.353E-25,1.353E-25,1.353E-25,1.353E-25
6.123E+07,9.657E-26,9.657E-26,9.657E-26,9.657E-26,9.657E-26,9.657E-26
7.482E+07,7.123E-26,7.123E-26,7.123E-26,7.123E-26,7.123E-26,7.123E-26
9.060E+07,5.449E-26,5.449E-26,5.449E-26,5.449E-26,5.449E-26,5.449E-26
1.094E+08,4.155E-26,4.155E-26,4.155E-26,4.155E-26,4.155E-26,4.155E-26
1.269E+08,3.497E-26,3.497E-26,3.497E-26,3.497E-26,3.497E-26,3.497E-26
1.469E+08,2.990E-26,2.990E-26,2.990E-26,2.990E-26,2.990E-26,2.990E-26
1.695E+08,2.572E-26,2.572E-26,2.572E-26,2.572E-26,2.572E-26,2.572E-26
1.931E+08,2.259E-26,2.259E-26,2.259E-26,2.259E-26,2.259E-26,2.259E-26
2.193E+08,1.993E-26,1.993E-26,1.993E-26,1.993E-26,1.993E-26,1.993E-26
2.492E+08,1.754E-26,1.754E-26,1.754E-26,1.754E-26,1.754E-26,1.754E-26
2.831E+08,1.537E-26,1.537E-26,1.537E-26,1.537E-26,1.537E-26,1.537E-26
