enu,nue,nuebar,numu,numubar,nutau,nutaubar
# Energy in GeV Fluxes in 1/GeV/cm^2/s/sr
# From "Cosmogenic Neutrinos: parameter space and detectabilty from PeV to ZeV"
# K. Koteral et al, J. Cosmol. Astropart. Phys. 013 (2010)
# https://arxiv.org/abs/1009.1382
# Fig 1, solid black line
3.34163e+03,5.31629e-20,5.31629e-20,5.31629e-20,5.31629e-20,5.31629e-20,5.31629e-20
4.12495e+03,4.48871e-20,4.48871e-20,4.48871e-20,4.48871e-20,4.48871e-20,4.48871e-20
5.24742e+03,3.46749e-20,3.46749e-20,3.46749e-20,3.46749e-20,3.46749e-20,3.46749e-20
6.67532e+03,2.69224e-20,2.69224e-20,2.69224e-20,2.69224e-20,2.69224e-20,2.69224e-20
9.01842e+03,1.88173e-20,1.88173e-20,1.88173e-20,1.88173e-20,1.88173e-20,1.88173e-20
1.25561e+04,1.23341e-20,1.23341e-20,1.23341e-20,1.23341e-20,1.23341e-20,1.23341e-20
1.64607e+04,9.47686e-21,9.47686e-21,9.47686e-21,9.47686e-21,9.47686e-21,9.47686e-21
2.15794e+04,7.13530e-21,7.13530e-21,7.13530e-21,7.13530e-21,7.13530e-21,7.13530e-21
2.74515e+04,5.52692e-21,5.52692e-21,5.52692e-21,5.52692e-21,5.52692e-21,5.52692e-21
3.19077e+04,5.29006e-21,5.29006e-21,5.29006e-21,5.29006e-21,5.29006e-21,5.29006e-21
3.70872e+04,5.13234e-21,5.13234e-21,5.13234e-21,5.13234e-21,5.13234e-21,5.13234e-21
4.44242e+04,4.65692e-21,4.65692e-21,4.65692e-21,4.65692e-21,4.65692e-21,4.65692e-21
5.16355e+04,4.48004e-21,4.48004e-21,4.48004e-21,4.48004e-21,4.48004e-21,4.48004e-21
6.00175e+04,4.32446e-21,4.32446e-21,4.32446e-21,4.32446e-21,4.32446e-21,4.32446e-21
7.18907e+04,4.00434e-21,4.00434e-21,4.00434e-21,4.00434e-21,4.00434e-21,4.00434e-21
8.61128e+04,3.76688e-21,3.76688e-21,3.76688e-21,3.76688e-21,3.76688e-21,3.76688e-21
1.03148e+05,3.51968e-21,3.51968e-21,3.51968e-21,3.51968e-21,3.51968e-21,3.51968e-21
1.27328e+05,3.22484e-21,3.22484e-21,3.22484e-21,3.22484e-21,3.22484e-21,3.22484e-21
1.57175e+05,2.92822e-21,2.92822e-21,2.92822e-21,2.92822e-21,2.92822e-21,2.92822e-21
1.88269e+05,2.71145e-21,2.71145e-21,2.71145e-21,2.71145e-21,2.71145e-21,2.71145e-21
2.25514e+05,2.44370e-21,2.44370e-21,2.44370e-21,2.44370e-21,2.44370e-21,2.44370e-21
2.78378e+05,2.05284e-21,2.05284e-21,2.05284e-21,2.05284e-21,2.05284e-21,2.05284e-21
3.54129e+05,1.62380e-21,1.62380e-21,1.62380e-21,1.62380e-21,1.62380e-21,1.62380e-21
4.64252e+05,1.27582e-21,1.27582e-21,1.27582e-21,1.27582e-21,1.27582e-21,1.27582e-21
6.27209e+05,8.77367e-22,8.77367e-22,8.77367e-22,8.77367e-22,8.77367e-22,8.77367e-22
9.27402e+05,5.22449e-22,5.22449e-22,5.22449e-22,5.22449e-22,5.22449e-22,5.22449e-22
1.32265e+06,2.97267e-22,2.97267e-22,2.97267e-22,2.97267e-22,2.97267e-22,2.97267e-22
2.01542e+06,1.51208e-22,1.51208e-22,1.51208e-22,1.51208e-22,1.51208e-22,1.51208e-22
2.86574e+06,8.00494e-23,8.00494e-23,8.00494e-23,8.00494e-23,8.00494e-23,8.00494e-23
4.14903e+06,4.04629e-23,4.04629e-23,4.04629e-23,4.04629e-23,4.04629e-23,4.04629e-23
5.89951e+06,1.97711e-23,1.97711e-23,1.97711e-23,1.97711e-23,1.97711e-23,1.97711e-23
8.59289e+06,9.00937e-24,9.00937e-24,9.00937e-24,9.00937e-24,9.00937e-24,9.00937e-24
1.23290e+07,4.11791e-24,4.11791e-24,4.11791e-24,4.11791e-24,4.11791e-24,4.11791e-24
1.76896e+07,1.75311e-24,1.75311e-24,1.75311e-24,1.75311e-24,1.75311e-24,1.75311e-24
2.53810e+07,7.41315e-25,7.41315e-25,7.41315e-25,7.41315e-25,7.41315e-25,7.41315e-25
3.64166e+07,3.06135e-25,3.06135e-25,3.06135e-25,3.06135e-25,3.06135e-25,3.06135e-25
5.22503e+07,1.31660e-25,1.31660e-25,1.31660e-25,1.31660e-25,1.31660e-25,1.31660e-25
7.49685e+07,6.26701e-26,6.26701e-26,6.26701e-26,6.26701e-26,6.26701e-26,6.26701e-26
1.07564e+08,3.35802e-26,3.35802e-26,3.35802e-26,3.35802e-26,3.35802e-26,3.35802e-26
1.49759e+08,2.14664e-26,2.14664e-26,2.14664e-26,2.14664e-26,2.14664e-26,2.14664e-26
2.02326e+08,1.51877e-26,1.51877e-26,1.51877e-26,1.51877e-26,1.51877e-26,1.51877e-26
2.73344e+08,1.08771e-26,1.08771e-26,1.08771e-26,1.08771e-26,1.08771e-26,1.08771e-26
3.69290e+08,7.63344e-27,7.63344e-27,7.63344e-27,7.63344e-27,7.63344e-27,7.63344e-27
5.14152e+08,5.08536e-27,5.08536e-27,5.08536e-27,5.08536e-27,5.08536e-27,5.08536e-27
7.37703e+08,3.00565e-27,3.00565e-27,3.00565e-27,3.00565e-27,3.00565e-27,3.00565e-27
1.05845e+09,1.70581e-27,1.70581e-27,1.70581e-27,1.70581e-27,1.70581e-27,1.70581e-27
1.51866e+09,8.95644e-28,8.95644e-28,8.95644e-28,8.95644e-28,8.95644e-28,8.95644e-28
2.17897e+09,4.39502e-28,4.39502e-28,4.39502e-28,4.39502e-28,4.39502e-28,4.39502e-28
3.12638e+09,2.00882e-28,2.00882e-28,2.00882e-28,2.00882e-28,2.00882e-28,2.00882e-28
4.48571e+09,8.63931e-29,8.63931e-29,8.63931e-29,8.63931e-29,8.63931e-29,8.63931e-29
6.43607e+09,3.51979e-29,3.51979e-29,3.51979e-29,3.51979e-29,3.51979e-29,3.51979e-29
9.23445e+09,1.34022e-29,1.34022e-29,1.34022e-29,1.34022e-29,1.34022e-29,1.34022e-29
1.28569e+10,5.33228e-30,5.33228e-30,5.33228e-30,5.33228e-30,5.33228e-30,5.33228e-30
1.68550e+10,2.38558e-30,2.38558e-30,2.38558e-30,2.38558e-30,2.38558e-30,2.38558e-30
2.08060e+10,1.22098e-30,1.22098e-30,1.22098e-30,1.22098e-30,1.22098e-30,1.22098e-30
2.49220e+10,6.80729e-31,6.80729e-31,6.80729e-31,6.80729e-31,6.80729e-31,6.80729e-31
2.98523e+10,3.64426e-31,3.64426e-31,3.64426e-31,3.64426e-31,3.64426e-31,3.64426e-31
3.57580e+10,1.92472e-31,1.92472e-31,1.92472e-31,1.92472e-31,1.92472e-31,1.92472e-31
4.15626e+10,1.10920e-31,1.10920e-31,1.10920e-31,1.10920e-31,1.10920e-31,1.10920e-31
4.68776e+10,6.97488e-32,6.97488e-32,6.97488e-32,6.97488e-32,6.97488e-32,6.97488e-32
5.28724e+10,4.38593e-32,4.38593e-32,4.38593e-32,4.38593e-32,4.38593e-32,4.38593e-32
5.96338e+10,2.64826e-32,2.64826e-32,2.64826e-32,2.64826e-32,2.64826e-32,2.64826e-32
6.72598e+10,1.61535e-32,1.61535e-32,1.61535e-32,1.61535e-32,1.61535e-32,1.61535e-32
7.58611e+10,9.65512e-33,9.65512e-33,9.65512e-33,9.65512e-33,9.65512e-33,9.65512e-33
8.55623e+10,5.65506e-33,5.65506e-33,5.65506e-33,5.65506e-33,5.65506e-33,5.65506e-33
9.65040e+10,3.27876e-33,3.27876e-33,3.27876e-33,3.27876e-33,3.27876e-33,3.27876e-33
1.08845e+11,1.90099e-33,1.90099e-33,1.90099e-33,1.90099e-33,1.90099e-33,1.90099e-33
1.15595e+11,1.32118e-33,1.32118e-33,1.32118e-33,1.32118e-33,1.32118e-33,1.32118e-33
1.29077e+11,7.78878e-34,7.78878e-34,7.78878e-34,7.78878e-34,7.78878e-34,7.78878e-34
1.45583e+11,4.24916e-34,4.24916e-34,4.24916e-34,4.24916e-34,4.24916e-34,4.24916e-34
1.57744e+11,2.70578e-34,2.70578e-34,2.70578e-34,2.70578e-34,2.70578e-34,2.70578e-34
1.74384e+11,1.67778e-34,1.67778e-34,1.67778e-34,1.67778e-34,1.67778e-34,1.67778e-34
1.88951e+11,1.03986e-34,1.03986e-34,1.03986e-34,1.03986e-34,1.03986e-34,1.03986e-34
2.08882e+11,6.31838e-35,6.31838e-35,6.31838e-35,6.31838e-35,6.31838e-35,6.31838e-35
2.24073e+11,4.21750e-35,4.21750e-35,4.21750e-35,4.21750e-35,4.21750e-35,4.21750e-35
2.37969e+11,2.96101e-35,2.96101e-35,2.96101e-35,2.96101e-35,2.96101e-35,2.96101e-35
2.52727e+11,2.01651e-35,2.01651e-35,2.01651e-35,2.01651e-35,2.01651e-35,2.01651e-35
2.68401e+11,1.37329e-35,1.37329e-35,1.37329e-35,1.37329e-35,1.37329e-35,1.37329e-35
2.85046e+11,9.54418e-36,9.54418e-36,9.54418e-36,9.54418e-36,9.54418e-36,9.54418e-36
3.02724e+11,6.43418e-36,6.43418e-36,6.43418e-36,6.43418e-36,6.43418e-36,6.43418e-36
3.21498e+11,4.29380e-36,4.29380e-36,4.29380e-36,4.29380e-36,4.29380e-36,4.29380e-36
3.58994e+11,1.48845e-36,1.48845e-36,1.48845e-36,1.48845e-36,1.48845e-36,1.48845e-36
3.41437e+11,2.92418e-36,2.92418e-36,2.92418e-36,2.92418e-36,2.92418e-36,2.92418e-36
3.62612e+11,1.97133e-36,1.97133e-36,1.97133e-36,1.97133e-36,1.97133e-36,1.97133e-36
