enu,nue,nuebar,numu,numubar,nutau,nutaubar
# Energy in GeV, Fluxes in 1/GeV/cm/s/sr
# From "Testing the Newborn Pulsar Origin of Ultrahigh Energy Cosmic Rays with EeV Neutrinos"
# K. Fang, et al, Phys Rev D (2010) 106-115
# https://journals.aps.org/prd/abstract/10.1103/PhysRevD.90.103005, https://arxiv.org/abs/1311.2044
# Fig 3, solid black line (uniform evolution)
6.379E+04,4.366E-21,4.366E-21,4.366E-21,4.366E-21,4.366E-21,4.366E-21
7.455E+04,3.440E-21,3.440E-21,3.440E-21,3.440E-21,3.440E-21,3.440E-21
8.786E+04,2.698E-21,2.698E-21,2.698E-21,2.698E-21,2.698E-21,2.698E-21
1.032E+05,2.122E-21,2.122E-21,2.122E-21,2.122E-21,2.122E-21,2.122E-21
1.226E+05,1.646E-21,1.646E-21,1.646E-21,1.646E-21,1.646E-21,1.646E-21
1.448E+05,1.290E-21,1.290E-21,1.290E-21,1.290E-21,1.290E-21,1.290E-21
1.710E+05,1.009E-21,1.009E-21,1.009E-21,1.009E-21,1.009E-21,1.009E-21
2.020E+05,7.873E-22,7.873E-22,7.873E-22,7.873E-22,7.873E-22,7.873E-22
2.386E+05,6.137E-22,6.137E-22,6.137E-22,6.137E-22,6.137E-22,6.137E-22
2.818E+05,4.791E-22,4.791E-22,4.791E-22,4.791E-22,4.791E-22,4.791E-22
3.328E+05,3.745E-22,3.745E-22,3.745E-22,3.745E-22,3.745E-22,3.745E-22
3.931E+05,2.920E-22,2.920E-22,2.920E-22,2.920E-22,2.920E-22,2.920E-22
4.643E+05,2.271E-22,2.271E-22,2.271E-22,2.271E-22,2.271E-22,2.271E-22
5.484E+05,1.765E-22,1.765E-22,1.765E-22,1.765E-22,1.765E-22,1.765E-22
6.477E+05,1.374E-22,1.374E-22,1.374E-22,1.374E-22,1.374E-22,1.374E-22
7.650E+05,1.070E-22,1.070E-22,1.070E-22,1.070E-22,1.070E-22,1.070E-22
9.036E+05,8.325E-23,8.325E-23,8.325E-23,8.325E-23,8.325E-23,8.325E-23
1.067E+06,6.469E-23,6.469E-23,6.469E-23,6.469E-23,6.469E-23,6.469E-23
1.261E+06,5.032E-23,5.032E-23,5.032E-23,5.032E-23,5.032E-23,5.032E-23
1.489E+06,3.911E-23,3.911E-23,3.911E-23,3.911E-23,3.911E-23,3.911E-23
1.758E+06,3.030E-23,3.030E-23,3.030E-23,3.030E-23,3.030E-23,3.030E-23
2.077E+06,2.343E-23,2.343E-23,2.343E-23,2.343E-23,2.343E-23,2.343E-23
2.453E+06,1.811E-23,1.811E-23,1.811E-23,1.811E-23,1.811E-23,1.811E-23
2.898E+06,1.401E-23,1.401E-23,1.401E-23,1.401E-23,1.401E-23,1.401E-23
3.422E+06,1.085E-23,1.085E-23,1.085E-23,1.085E-23,1.085E-23,1.085E-23
4.042E+06,8.418E-24,8.418E-24,8.418E-24,8.418E-24,8.418E-24,8.418E-24
4.774E+06,6.524E-24,6.524E-24,6.524E-24,6.524E-24,6.524E-24,6.524E-24
5.639E+06,5.048E-24,5.048E-24,5.048E-24,5.048E-24,5.048E-24,5.048E-24
6.661E+06,3.907E-24,3.907E-24,3.907E-24,3.907E-24,3.907E-24,3.907E-24
7.867E+06,3.017E-24,3.017E-24,3.017E-24,3.017E-24,3.017E-24,3.017E-24
9.292E+06,2.321E-24,2.321E-24,2.321E-24,2.321E-24,2.321E-24,2.321E-24
1.097E+07,1.777E-24,1.777E-24,1.777E-24,1.777E-24,1.777E-24,1.777E-24
1.296E+07,1.356E-24,1.356E-24,1.356E-24,1.356E-24,1.356E-24,1.356E-24
1.531E+07,1.033E-24,1.033E-24,1.033E-24,1.033E-24,1.033E-24,1.033E-24
1.808E+07,7.856E-25,7.856E-25,7.856E-25,7.856E-25,7.856E-25,7.856E-25
2.136E+07,5.967E-25,5.967E-25,5.967E-25,5.967E-25,5.967E-25,5.967E-25
2.523E+07,4.518E-25,4.518E-25,4.518E-25,4.518E-25,4.518E-25,4.518E-25
2.980E+07,3.411E-25,3.411E-25,3.411E-25,3.411E-25,3.411E-25,3.411E-25
3.519E+07,2.571E-25,2.571E-25,2.571E-25,2.571E-25,2.571E-25,2.571E-25
4.157E+07,1.942E-25,1.942E-25,1.942E-25,1.942E-25,1.942E-25,1.942E-25
4.910E+07,1.462E-25,1.462E-25,1.462E-25,1.462E-25,1.462E-25,1.462E-25
5.799E+07,1.094E-25,1.094E-25,1.094E-25,1.094E-25,1.094E-25,1.094E-25
6.849E+07,8.128E-26,8.128E-26,8.128E-26,8.128E-26,8.128E-26,8.128E-26
8.090E+07,6.013E-26,6.013E-26,6.013E-26,6.013E-26,6.013E-26,6.013E-26
9.555E+07,4.449E-26,4.449E-26,4.449E-26,4.449E-26,4.449E-26,4.449E-26
1.129E+08,3.294E-26,3.294E-26,3.294E-26,3.294E-26,3.294E-26,3.294E-26
1.333E+08,2.424E-26,2.424E-26,2.424E-26,2.424E-26,2.424E-26,2.424E-26
1.574E+08,1.778E-26,1.778E-26,1.778E-26,1.778E-26,1.778E-26,1.778E-26
1.860E+08,1.302E-26,1.302E-26,1.302E-26,1.302E-26,1.302E-26,1.302E-26
2.196E+08,9.531E-27,9.531E-27,9.531E-27,9.531E-27,9.531E-27,9.531E-27
2.594E+08,6.859E-27,6.859E-27,6.859E-27,6.859E-27,6.859E-27,6.859E-27
3.064E+08,4.875E-27,4.875E-27,4.875E-27,4.875E-27,4.875E-27,4.875E-27
