enu,nue,nuebar,numu,numubar,nutau,nutaubar
# Energy in GeV, Fluxes in 1/GeV/cm/s/sr
# From "AGN jets as the origin of UHECRs and perspectives for the detection of astrophysical source neutrinos at EeV energies"
# X. Rodrigues, et al, PRL 126, 191101 (2021)
# https://doi.org/10.1103/PhysRevLett.126.191101, https://arxiv.org/abs/2003.08392
# Fig 2, top right panel, dashed blue line ("Source")
2.169E+04,1.901E-20,1.901E-20,1.901E-20,1.901E-20,1.901E-20,1.901E-20
2.562E+04,1.756E-20,1.756E-20,1.756E-20,1.756E-20,1.756E-20,1.756E-20
2.895E+04,1.597E-20,1.597E-20,1.597E-20,1.597E-20,1.597E-20,1.597E-20
3.372E+04,1.418E-20,1.418E-20,1.418E-20,1.418E-20,1.418E-20,1.418E-20
3.735E+04,1.301E-20,1.301E-20,1.301E-20,1.301E-20,1.301E-20,1.301E-20
4.019E+04,1.324E-20,1.324E-20,1.324E-20,1.324E-20,1.324E-20,1.324E-20
4.527E+04,1.207E-20,1.207E-20,1.207E-20,1.207E-20,1.207E-20,1.207E-20
5.179E+04,1.064E-20,1.064E-20,1.064E-20,1.064E-20,1.064E-20,1.064E-20
5.879E+04,9.537E-21,9.537E-21,9.537E-21,9.537E-21,9.537E-21,9.537E-21
6.447E+04,9.235E-21,9.235E-21,9.235E-21,9.235E-21,9.235E-21,9.235E-21
7.202E+04,8.646E-21,8.646E-21,8.646E-21,8.646E-21,8.646E-21,8.646E-21
8.359E+04,7.446E-21,7.446E-21,7.446E-21,7.446E-21,7.446E-21,7.446E-21
9.442E+04,6.518E-21,6.518E-21,6.518E-21,6.518E-21,6.518E-21,6.518E-21
1.034E+05,6.036E-21,6.036E-21,6.036E-21,6.036E-21,6.036E-21,6.036E-21
1.189E+05,5.445E-21,5.445E-21,5.445E-21,5.445E-21,5.445E-21,5.445E-21
1.379E+05,4.582E-21,4.582E-21,4.582E-21,4.582E-21,4.582E-21,4.582E-21
1.569E+05,3.912E-21,3.912E-21,3.912E-21,3.912E-21,3.912E-21,3.912E-21
1.736E+05,3.606E-21,3.606E-21,3.606E-21,3.606E-21,3.606E-21,3.606E-21
1.988E+05,3.095E-21,3.095E-21,3.095E-21,3.095E-21,3.095E-21,3.095E-21
2.307E+05,2.520E-21,2.520E-21,2.520E-21,2.520E-21,2.520E-21,2.520E-21
2.660E+05,2.062E-21,2.062E-21,2.062E-21,2.062E-21,2.062E-21,2.062E-21
2.979E+05,1.808E-21,1.808E-21,1.808E-21,1.808E-21,1.808E-21,1.808E-21
3.510E+05,1.435E-21,1.435E-21,1.435E-21,1.435E-21,1.435E-21,1.435E-21
4.074E+05,1.136E-21,1.136E-21,1.136E-21,1.136E-21,1.136E-21,1.136E-21
4.696E+05,9.024E-22,9.024E-22,9.024E-22,9.024E-22,9.024E-22,9.024E-22
5.349E+05,7.275E-22,7.275E-22,7.275E-22,7.275E-22,7.275E-22,7.275E-22
6.456E+05,5.315E-22,5.315E-22,5.315E-22,5.315E-22,5.315E-22,5.315E-22
7.492E+05,4.067E-22,4.067E-22,4.067E-22,4.067E-22,4.067E-22,4.067E-22
8.637E+05,3.133E-22,3.133E-22,3.133E-22,3.133E-22,3.133E-22,3.133E-22
1.005E+06,2.427E-22,2.427E-22,2.427E-22,2.427E-22,2.427E-22,2.427E-22
1.187E+06,1.764E-22,1.764E-22,1.764E-22,1.764E-22,1.764E-22,1.764E-22
1.378E+06,1.333E-22,1.333E-22,1.333E-22,1.333E-22,1.333E-22,1.333E-22
1.588E+06,1.025E-22,1.025E-22,1.025E-22,1.025E-22,1.025E-22,1.025E-22
1.845E+06,7.934E-23,7.934E-23,7.934E-23,7.934E-23,7.934E-23,7.934E-23
2.213E+06,5.583E-23,5.583E-23,5.583E-23,5.583E-23,5.583E-23,5.583E-23
2.568E+06,4.288E-23,4.288E-23,4.288E-23,4.288E-23,4.288E-23,4.288E-23
2.961E+06,3.325E-23,3.325E-23,3.325E-23,3.325E-23,3.325E-23,3.325E-23
3.387E+06,2.680E-23,2.680E-23,2.680E-23,2.680E-23,2.680E-23,2.680E-23
4.015E+06,2.059E-23,2.059E-23,2.059E-23,2.059E-23,2.059E-23,2.059E-23
4.659E+06,1.637E-23,1.637E-23,1.637E-23,1.637E-23,1.637E-23,1.637E-23
